,distance_nearest_centroid,iou_on_xoy,target,kurt_x_distance_on_zoy,kurt_y_distance_on_zox,kurt_z_distance_on_xoy,class_id,max_nonzero_internal,mean_x_distance_on_zoy,mean_y_distance_on_zox,mean_z_distance_on_xoy,median_x_distance_on_zoy,median_y_distance_on_zox,median_z_distance_on_xoy,point_count,quantile_down_x_distance_on_zoy,quantile_down_y_distance_on_zox,quantile_down_z_distance_on_xoy,quantile_up_x_distance_on_zoy,quantile_up_y_distance_on_zox,quantile_up_z_distance_on_xoy,skew_x_distance_on_zoy,skew_y_distance_on_zox,skew_z_distance_on_xoy,std_x_distance_div_mean_x_distance,std_x_distance_on_zoy,std_y_distance_div_mean_y_distance,std_y_distance_on_zox,std_z_distance_div_mean_z_distance,std_z_distance_on_xoy,x_centroid/x_shape,x_length/x_shape,x_max/x_shape,x_min/x_shape,y_centroid/y_shape,y_length/y_shape,y_max/y_shape,y_min/y_shape,z_centroid/z_shape,z_length/z_shape,z_max/z_shape,z_min/z_shape
0,0.3967582571623832,0.1239128562817532,0.0,-0.2528504160205265,0.6947501398288609,-1.3019311532748459,1,1,2.192184613354447,14.595036079613037,164.95552466990966,2.0,13.0,176.0,193478,2.0,6.0,80.0,3.0,20.0,259.0,-0.6014841812013196,0.9677367092644611,-0.34247301555655857,0.4423926316635225,0.9692487128258188,0.7149297311357277,10.43414015004513,0.5896289919629394,97.26214935882858,0.8430269976101108,0.07368421052631578,0.8676691729323308,0.7954887218045112,0.7171809940194868,0.35639097744360904,0.9022556390977443,0.5473684210526316,0.5374724793435064,1.0,0.996415770609319,0.0
0,0.28531898145189377,0.1434715821812596,0.0,-0.41808176480843695,0.055657754211059896,-1.218269212504955,2,1,2.11305085663736,13.970739660202506,152.86723768736616,2.0,13.0,156.0,172414,2.0,6.0,81.0,3.0,19.0,235.0,-0.5782026851645933,0.7493673502484799,-0.17528932904714448,0.4714019413989368,0.995567678034937,0.697846336264726,9.749127333116887,0.5794157190291123,88.5732598563385,0.8436301816287444,0.06766917293233082,0.8676691729323308,0.8015037593984963,0.27107454508648576,0.3263157894736842,0.4270676691729323,0.10225563909774436,0.5157495380898016,1.0,0.996415770609319,0.0
0,1.1443827638044297,0.29353123615418697,1.0,0.1439403368107528,-0.6587522150350384,-0.8726858367794739,12,1,5.742150333016175,13.725206611570249,4.347169811320755,6.0,13.0,4.0,7058,4.0,8.0,3.0,7.0,19.0,6.0,-0.3096022982919258,0.301001098132074,-0.2248633524647662,0.3827535096528125,2.19721094642566,0.5695336575862112,7.816536656271637,0.47709281335174597,2.0734805682141495,0.6821538828652817,0.055639097744360905,0.6992481203007519,0.6451127819548872,0.33064319910004536,0.18345864661654135,0.41353383458646614,0.23157894736842105,0.18307094011625133,0.15412186379928317,0.24731182795698925,0.0967741935483871
0,1.3130961141889768,0.29385964912280704,1.0,0.22766719138558988,-0.6120416618432438,-0.7798898563709558,13,1,6.006044905008635,14.20373831775701,4.766169154228856,6.0,14.0,5.0,8030,5.0,8.0,3.0,8.0,20.0,7.0,-0.2777786529725107,0.3533269304844992,-0.35168470364876053,0.3653905489261894,2.1939174352653747,0.5921262594370953,8.409998566376236,0.47483934673050743,2.262639486947856,0.688614312868098,0.05714285714285714,0.706766917293233,0.6511278195488722,0.6596529930055525,0.18947368421052632,0.762406015037594,0.5744360902255639,0.1995813191571035,0.16487455197132617,0.26523297491039427,0.1039426523297491
0,13.106249683527542,0.10935208351307049,1.0,1.1884568984726456,1.2355667888391286,-0.6877634660587923,17,23,8.863304981773998,10.658519051042415,5.405522682445759,9.0,7.0,6.0,15689,7.0,5.0,4.0,11.0,14.0,7.0,0.07492054996401967,1.3737181218395773,-0.3094255875169167,0.3869078308647863,3.428669012622097,0.7726330430228964,8.234896641567438,0.4645068897331831,2.510367035494786,0.670641132118332,0.20150375939849624,0.7218045112781954,0.5218045112781955,0.2709719035941565,0.26015037593984963,0.4180451127819549,0.1593984962406015,0.24534643019753816,0.23297491039426524,0.34408602150537637,0.11469534050179211
0,12.440737340027704,0.10847643559343488,1.0,0.6111877152634366,1.810035220674255,-0.6993121281006727,19,19,9.35905612244898,10.860277980980248,5.314274601322443,10.0,8.0,5.0,15537,7.0,5.0,4.0,11.0,14.0,7.0,-0.05493317330263871,1.5125663362841648,-0.293334025014388,0.39341423287582505,3.681379299087935,0.8105980171563011,8.803130395165983,0.4542547724981848,2.4134888547891062,0.6760243919317506,0.20601503759398496,0.7293233082706767,0.524812030075188,0.7191657459927091,0.26015037593984963,0.8300751879699249,0.5714285714285714,0.2571002322355492,0.22939068100358423,0.34767025089605735,0.12186379928315412
0,23.93730529607333,0.10126680857691708,1.0,1.8560673503041913,5.0488749096392045,-0.7270961851822584,38,1,12.45545497856122,10.846186262115465,6.230710074339913,12.0,8.0,6.0,26051,9.0,6.0,4.0,14.0,12.0,9.0,1.2023612503652903,2.1302539628692645,-0.3529893711950429,0.5382433962923987,6.703604633424148,0.792119089691782,8.591263307664105,0.45479548104850714,2.8331535810142494,0.649608417035064,0.3097744360902256,0.7428571428571429,0.4345864661654135,0.237286490957731,0.281203007518797,0.4195488721804511,0.13984962406015036,0.3217005132887255,0.26881720430107525,0.4265232974910394,0.16129032258064516
0,23.924929883671226,0.1031152647975078,1.0,1.971065876633996,5.706861632714642,-0.903940955599551,40,1,12.968466316292403,10.826954397394136,6.291792547834844,12.0,9.0,6.0,27243,9.0,6.0,4.0,14.0,12.0,9.0,1.3234755267886882,2.2381943094728594,-0.3472491426208973,0.555607473338842,7.20493241054844,0.8022494156641583,8.6857200881476,0.4777331854431636,3.005275829210142,0.6504813404505648,0.3218045112781955,0.7473684210526316,0.4270676691729323,0.7468836721249219,0.2706766917293233,0.8406015037593985,0.5714285714285714,0.3206165090318818,0.2616487455197133,0.4229390681003584,0.16487455197132617
0,28.371007469450177,0.10413110276544896,1.0,1.033641345800271,22.4299073823049,-0.6827005620064428,58,1,15.190123456790124,12.214547881214548,6.092531876138434,14.0,10.0,6.0,33931,10.0,7.0,4.0,19.0,14.0,8.0,0.8298376344954285,3.727151584554508,-0.4545215869242491,0.546774315287587,8.305116126535623,0.8532532737826396,10.4219562206949,0.4497217998996708,2.739394123082995,0.6302771901313213,0.3924812030075188,0.7533834586466165,0.362406015037594,0.2242422980028244,0.3037593984962406,0.4270676691729323,0.12481203007518797,0.3921919763585155,0.2867383512544803,0.4910394265232975,0.2078853046594982
0,26.280591461465367,0.10853547479095951,1.0,1.3002359598232864,9.8670426309696,-0.4968994672179803,59,1,14.786416061512174,12.361663652802893,6.0139206712433255,14.0,11.0,6.0,32326,10.0,7.0,4.0,18.0,14.0,8.0,0.8996654794174329,2.6719262294763997,-0.4771895657526572,0.5338038962889644,7.892580309681211,0.7693108908432826,9.509731787933664,0.42334888685634503,2.545409970700082,0.6343273577124771,0.38646616541353385,0.7593984962406015,0.3744360902255639,0.7609571475555188,0.28270676691729324,0.8556390977443609,0.5744360902255639,0.3880861350440417,0.2867383512544803,0.4910394265232975,0.2078853046594982
0,27.22620517199939,0.10532579044689772,1.0,0.7545000587232042,18.286386591627643,-0.11135961618592916,121,1,15.635717107862504,12.151101458268693,6.379975664870503,14.0,11.0,7.0,36190,10.0,8.0,5.0,20.0,14.0,8.0,0.8757895072859493,3.52783336188836,-0.716136065611985,0.5788757519048487,9.05071637313732,0.7412217449228528,9.006401847377465,0.37204984343518077,2.3730409970787694,0.6033385203821934,0.4345864661654135,0.7609022556390977,0.32781954887218046,0.7722879040652197,0.28421052631578947,0.8571428571428571,0.5744360902255639,0.44375790456778785,0.30824372759856633,0.5555555555555556,0.25089605734767023
0,29.894202406691157,0.1050886524822695,1.0,0.8122701250174398,24.674428122446884,-0.15901544415543212,140,1,15.581954294720251,12.938800869835353,6.089083853551544,15.0,11.0,7.0,36090,10.0,8.0,5.0,19.0,13.0,8.0,0.7296725304810757,4.645315048538182,-0.7609905984026019,0.5313327171327595,8.278733446369316,1.0928580873748814,14.14036602962009,0.39531511174367384,2.4065021790950727,0.6093616001766677,0.42406015037593986,0.7593984962406015,0.3368421052631579,0.21897541026298079,0.3007518796992481,0.42105263157894735,0.12180451127819548,0.45197122685123114,0.2903225806451613,0.5448028673835126,0.25806451612903225
0,28.738507373315166,0.12535226151895168,1.0,0.36286412815765123,22.274908066650504,-0.04830731617822481,253,1,17.79000387446726,13.71798734558602,5.807081635520585,16.0,13.0,6.0,40555,12.0,9.0,4.0,22.0,15.0,7.0,0.7557307773360118,3.924013033311853,-0.360414348475203,0.5408645596130024,9.621523475636955,0.7197059880551371,9.872637342670908,0.4018358357449519,2.3328953380843216,0.5822521165445979,0.45413533834586467,0.7563909774436091,0.3037593984962406,0.7664962925128134,0.28270676691729324,0.8556390977443609,0.5744360902255639,0.5033553707540845,0.2867383512544803,0.6129032258064516,0.32974910394265233
0,27.094974282274304,0.11474253882630846,1.0,0.4136811766986761,20.06843014298403,0.3480962525696665,258,1,17.051230334812423,14.142726996659581,5.851743739437701,15.0,12.0,6.0,37045,11.0,9.0,4.0,21.0,14.0,7.0,0.881195161477127,4.390019195448258,-0.20639630042971166,0.58767250492456,10.020126915409787,1.1670703062457495,16.50572379744777,0.40994962241196525,2.3983300860564793,0.5865348889838309,0.44661654135338347,0.7518796992481203,0.3067669172932331,0.2186352505639859,0.28721804511278193,0.41654135338345866,0.13082706766917293,0.5185334507919507,0.27598566308243727,0.6093189964157706,0.33691756272401435
0,30.48712310863705,0.12721579354652943,1.0,0.16574396212156728,18.470176049161978,0.2302114920185261,406,1,17.493900039354585,15.62048969072165,5.682133257886547,16.0,13.0,6.0,37341,11.0,9.0,4.0,22.0,16.0,7.0,0.7044527237491719,4.192772184452257,-0.1693420840180811,0.5783497428706877,10.11717093930911,1.0654644611413318,16.64314209554961,0.4241918515025273,2.4097388189984845,0.5603328639748323,0.4616541353383459,0.7368421052631579,0.27669172932330827,0.22520376622443067,0.2721804511278195,0.4120300751879699,0.14135338345864662,0.5814096932283204,0.25806451612903225,0.6738351254480287,0.41935483870967744
0,32.87269197165893,0.12547348484848486,1.0,1.708770486670248,20.326310914115595,0.11636945283491329,426,1,17.745924453280317,13.389563106796116,5.815384615384615,16.0,13.0,6.0,37886,12.0,9.0,4.0,21.0,15.0,7.0,1.2090517270050867,3.813410297606142,-0.2037269434948018,0.5983186192914088,10.61731533555562,0.7273398067802416,9.738489582775719,0.4108843314095053,2.3888613039128406,0.5647293681598813,0.4691729323308271,0.7473684210526316,0.2796992481203007,0.7502339229798616,0.2646616541353383,0.837593984962406,0.5744360902255639,0.5754441214607793,0.24731182795698925,0.6738351254480287,0.43010752688172044
0,35.25419596284718,0.1392322954822955,1.0,3.0268510645022584,20.157505473261708,-0.27059266423810024,471,1,15.548804390435123,14.197868087941373,4.775417922718553,14.0,12.0,5.0,37034,9.0,9.0,3.0,19.0,14.0,6.0,1.5594855403103054,4.261727542547233,-0.566109825577651,0.6691711229414333,10.404480065467101,1.0358353754448713,14.706689856764955,0.4155982222759217,1.9840707975286815,0.5474023260884836,0.4691729323308271,0.7308270676691729,0.2631578947368421,0.7311705033496958,0.25263157894736843,0.8150375939849624,0.5639097744360902,0.6427856761673812,0.22580645161290322,0.7275985663082437,0.5053763440860215
0,33.53696974048471,0.13889943074003794,1.0,1.0633064581487144,18.37656621321989,0.057170296206583426,472,1,16.704758190327613,16.030917210580558,5.135382513661202,15.0,14.0,5.0,35869,11.0,10.0,4.0,20.0,16.0,6.0,1.069540813085147,4.1334685210018804,-0.35869663554528564,0.5901353502651465,9.857658461093827,1.0207277456395412,16.363222712635654,0.40749473850038076,2.0920488492423,0.5405413223599577,0.46616541353383456,0.7278195488721805,0.2631578947368421,0.23153576600901737,0.2556390977443609,0.4030075187969925,0.14887218045112782,0.6393094505284113,0.22580645161290322,0.7275985663082437,0.5053763440860215
0,0.5648157439061828,0.4736094737970207,0.0,2.130755984323992,0.9387264203579324,3.328419446908262,482,1,24.659609826589595,28.722763288213933,23.762289981331673,11.0,18.0,11.0,268253,4.0,6.0,5.0,30.0,43.0,31.0,1.7623176139482042,1.3234026838064994,2.0346431283072857,1.2489823898072334,30.799667395317616,0.9753224468462358,28.013931092892893,1.2991290360996968,30.870580008005,0.6402908723049549,0.2586466165413534,0.7684210526315789,0.5112781954887218,0.16324316100536782,0.3263157894736842,0.3518796992481203,0.02706766917293233,0.8305285064504785,0.4767025089605735,0.996415770609319,0.5232974910394266
0,0.5761150074842588,0.5060404807084123,0.0,2.142434049525139,0.46729088813204145,3.031857964350759,495,3,23.157608290464474,28.546457281734902,24.101868633210426,8.0,17.0,12.0,243754,4.0,8.0,5.0,26.0,43.0,30.0,1.7758777387342777,1.2292545372094148,1.9560903894664257,1.2910797144875583,29.898609379582073,0.9454385590371535,26.98886687661814,1.2554050319746992,30.25786256715751,0.6655032397077764,0.23308270676691728,0.7819548872180451,0.5503759398496241,0.7725080154458694,0.3067669172932331,0.8932330827067669,0.58796992481203,0.8521805417371995,0.44802867383512546,0.996415770609319,0.5519713261648745
0,28.273243529757774,0.16212144823645525,1.0,3.623037721057439,16.078492399216294,-0.3549866040878529,503,1,15.237215909090908,13.037413582757218,4.431111823133611,12.0,13.0,5.0,27470,9.0,9.0,3.0,18.0,14.0,6.0,1.8182953724206874,3.2703156924994006,-0.64244541039556,0.7357565906762353,11.210617785261096,0.641557370408288,8.363890332449426,0.4149977209414108,1.83831630555793,0.5300873406669203,0.4195488721804511,0.7097744360902256,0.29172932330827067,0.236251549879431,0.2075187969924812,0.37293233082706767,0.16691729323308271,0.7001059480984796,0.18996415770609318,0.7777777777777778,0.5913978494623656
0,38.55472518127776,0.14945420433225312,1.0,4.211557533470355,9.680762006722897,-0.25678613733151323,507,1,15.732043010752689,18.32991722506898,4.486447931526391,14.0,13.0,5.0,31995,9.0,9.0,3.0,19.0,15.0,6.0,1.8250732385438884,3.2511290921947054,-0.644002104202305,0.6721352149153469,10.573732245304654,1.291199724581007,23.667875272326302,0.41415536060792174,1.8575006162905854,0.5523905403452373,0.43007518796992483,0.718796992481203,0.29022556390977444,0.7136098568032834,0.24661654135338346,0.8015037593984963,0.556390977443609,0.716842741445376,0.18996415770609318,0.7849462365591398,0.5985663082437276
0,41.157364448554375,0.16544802867383512,1.0,3.341895153125249,6.840446668818599,-0.314037406513183,516,1,12.96635262449529,19.163418290854572,3.4820912767186596,12.0,13.0,4.0,26765,7.0,9.0,2.0,15.0,15.0,5.0,1.5826417579705796,2.7969254605900304,-0.32662450440532326,0.6757562930929425,8.761770140757976,1.204206137588613,23.076910129162556,0.4728581513372765,1.6460081020481796,0.5301235903133511,0.40601503759398494,0.6932330827067669,0.2887218045112782,0.6863790524321264,0.23308270676691728,0.7759398496240602,0.544360902255639,0.7681934961603281,0.1827956989247312,0.8351254480286738,0.6559139784946236
0,31.58434949632709,0.18042328042328043,1.0,4.417855316092229,13.857392280707097,-0.45446018146163825,522,1,13.053115423901941,13.63098878695209,3.425382860866732,11.0,13.0,4.0,22847,7.0,9.0,2.0,16.0,14.0,5.0,1.8770447435964355,3.213646128508423,-0.6161421747024466,0.7541617170576904,9.843914102759168,0.7479473013271245,10.195009224922437,0.44524232038433875,1.5245706554974328,0.5330358109569017,0.37894736842105264,0.6902255639097744,0.31278195488721805,0.26231771927740305,0.20300751879699247,0.3879699248120301,0.18646616541353384,0.7612346616804038,0.16129032258064516,0.8279569892473119,0.6702508960573477
0,28.723134018387483,0.2314252433646726,1.0,0.9939072866274059,5.508043347776523,-0.17034103247942634,552,1,14.07036797934151,17.498274672187716,3.1759841811971956,13.0,14.0,3.0,20142,8.0,9.0,2.0,18.0,18.0,4.0,0.98511977429851,2.4111722663071897,-0.2640136246069652,0.6371667706663932,8.96480809425552,0.9506668066949397,16.634979572086333,0.45922527078429287,1.4579514208876971,0.5345511529792608,0.3037593984962406,0.649624060150376,0.3473684210526316,0.2943121133187452,0.17894736842105263,0.3969924812030075,0.21954887218045113,0.8183922821800342,0.13978494623655913,0.8781362007168458,0.7419354838709677
0,30.080136644729237,0.21867340686274508,1.0,-0.8371352919346453,4.449663267306184,0.021918782037055884,554,1,13.78585086042065,19.070521861777152,3.078633975481611,14.0,13.0,3.0,20590,7.0,9.0,2.0,19.0,18.0,4.0,0.16098911088519757,2.325546066677279,-0.08864725318328999,0.5475797393693307,7.548400200872972,1.0413289256608087,19.858727371041027,0.46979521966594945,1.4457973200021046,0.5409233623154535,0.3067669172932331,0.6541353383458647,0.34887218045112783,0.6658881784354037,0.1924812030075188,0.7443609022556391,0.5533834586466165,0.8277813463403085,0.14695340501792115,0.8853046594982079,0.7419354838709677
0,4.13389130306974,0.44526344526344525,0.0,3.919244622113088,-1.0667696792990145,-1.2749631739977594,556,1,19.080336227091085,44.13990825688074,40.81912936848559,21.0,42.0,51.0,52346,20.0,17.0,16.5,22.0,67.0,61.0,-2.25852403390793,0.3166010979856306,-0.5293380002419915,0.3141526323102856,5.993452003738278,0.6579029898126988,29.039435515249878,0.6032121039761755,24.622196120943862,0.9039547154287736,0.04962406015037594,0.9293233082706767,0.881203007518797,0.6453427152874353,0.16691729323308271,0.7127819548872181,0.5473684210526316,0.8813670466993333,0.25806451612903225,0.996415770609319,0.7419354838709677
0,3.893119480950168,0.4505050505050505,0.0,4.910685827847139,-1.0657237168616323,-1.40977228304472,559,1,19.31998713619553,40.12421524663677,38.51633568225496,21.0,41.0,45.0,46948,20.0,14.0,14.0,22.0,58.0,60.0,-2.3944040356011773,0.26499635913690356,-0.38808469477343677,0.2868803715706433,5.541811968743392,0.6529147357979145,26.197344311592296,0.6571951162804686,25.312404902513386,0.8990389302898552,0.05263157894736842,0.9263157894736842,0.8751879699248121,0.31133062912030013,0.14887218045112782,0.3969924812030075,0.24962406015037594,0.883517201827508,0.25448028673835127,0.996415770609319,0.7455197132616488
0,0.39317774962362,0.5130987292277615,1.0,-0.6072622452364782,-0.20771614063822996,0.1195889620907371,578,1,20.671544715447155,16.863731656184488,3.9279862831015433,20.0,17.0,3.0,23183,13.25,10.0,2.0,27.0,23.0,5.0,0.293016421608152,0.34787688563310964,0.7304168802134997,0.47353269697048633,9.788125852348667,0.5597721204937263,9.439406600740064,0.593469187254735,2.330732296167275,0.4973565994527361,0.23308270676691728,0.6135338345864662,0.3819548872180451,0.3439249463000987,0.09924812030075188,0.39097744360902253,0.2932330827067669,0.8456500924466188,0.14336917562724014,0.921146953405018,0.7813620071684588
0,0.718081563043303,0.3944513975803087,1.0,-0.5593997587748021,0.7333230099631809,0.3586039213244625,593,1,15.547777777777778,11.778095238095238,2.5378106821787414,15.0,11.0,2.0,12622,8.0,6.0,1.0,21.0,16.0,3.0,0.36253871688812406,0.8534491292108821,0.9447859782061866,0.6331176739260537,9.843206019059782,0.6554024224432947,7.719047553237895,0.7583827477649508,1.9243902212057233,0.4976918210595416,0.21203007518796993,0.606015037593985,0.3954887218045113,0.6240821908995273,0.10225563909774436,0.6646616541353384,0.5639097744360902,0.8448640906331268,0.13978494623655913,0.9283154121863799,0.7921146953405018
0,0.20291090128876393,0.2444816675972455,0.0,-0.16241539229723756,-1.0550056297571797,-0.5816295374831668,651,1,31.26457055214724,18.826732673267326,5.136419001218027,32.0,21.0,5.0,36591,22.0,10.0,3.0,39.0,26.0,7.0,0.1495520759544617,-0.317770612427043,-0.17431071001814466,0.46245989329640885,14.458072421397357,0.5077042061466114,9.557919070421805,0.4831190624334397,2.4809850511961917,0.5758523142323301,0.2992481203007519,0.7007518796992481,0.4030075187969925,0.2978284441940302,0.20300751879699247,0.3969924812030075,0.19548872180451127,0.9061427742039315,0.12186379928315412,0.96415770609319,0.8458781362007168
0,0.21477410461513416,0.3254688445251059,0.0,0.05652746745323611,-0.7273348557149841,-0.3467506574795345,727,1,34.44649021864212,16.30909090909091,5.3044196612969845,31.0,18.0,6.0,28592,20.0,11.0,4.0,44.0,22.0,7.0,0.7003638452308062,-0.5062266369681395,-0.5018982926203998,0.5697100459126629,19.624081234038606,0.41848974532146715,6.824605790715431,0.43371079078344826,2.3000177567391695,0.6213424229291752,0.2571428571428571,0.724812030075188,0.4691729323308271,0.6645478413437061,0.13082706766917293,0.7413533834586467,0.6120300751879699,0.9321043508172324,0.10752688172043011,0.989247311827957,0.8853046594982079
