,distance_nearest_centroid,iou_on_xoy,target,kurt_x_distance_on_zoy,kurt_y_distance_on_zox,kurt_z_distance_on_xoy,class_id,max_nonzero_internal,mean_x_distance_on_zoy,mean_y_distance_on_zox,mean_z_distance_on_xoy,median_x_distance_on_zoy,median_y_distance_on_zox,median_z_distance_on_xoy,point_count,quantile_down_x_distance_on_zoy,quantile_down_y_distance_on_zox,quantile_down_z_distance_on_xoy,quantile_up_x_distance_on_zoy,quantile_up_y_distance_on_zox,quantile_up_z_distance_on_xoy,skew_x_distance_on_zoy,skew_y_distance_on_zox,skew_z_distance_on_xoy,std_x_distance_div_mean_x_distance,std_x_distance_on_zoy,std_y_distance_div_mean_y_distance,std_y_distance_on_zox,std_z_distance_div_mean_z_distance,std_z_distance_on_xoy,x_centroid/x_shape,x_length/x_shape,x_max/x_shape,x_min/x_shape,y_centroid/y_shape,y_length/y_shape,y_max/y_shape,y_min/y_shape,z_centroid/z_shape,z_length/z_shape,z_max/z_shape,z_min/z_shape
0,1.514247892156293,0.11013519331783346,0.0,-0.9162814850422158,0.9994302465346494,-1.2183457759226637,8,1,1.392590700983164,10.603702733385731,128.44800625488662,1.0,8.0,121.0,131165,1.0,3.0,61.0,2.0,15.0,201.0,0.03097564367597783,1.1990992309389634,0.042526166883829535,0.6833076750133474,0.9512512218090268,0.8887036690093183,9.423438227913046,0.6161300764203465,79.14029603994085,0.8527655773000792,0.07480916030534351,0.8748091603053435,0.8015267175572519,0.6905944525905982,0.3618320610687023,0.8961832061068702,0.5358778625954198,0.5805129904666475,1.0,0.9965986394557823,0.0
0,0.43350644471064115,0.11780045351473922,0.0,-0.8911396885421978,-0.1836287869628057,-1.2390443332049932,9,1,1.5280463768115942,12.58561309233024,139.37054860442734,2.0,11.0,130.0,109016,1.0,4.0,62.0,2.0,19.0,220.0,-0.03893076846245321,0.7668127276679121,0.04217251394092247,0.6464098770730383,0.9873906804737571,0.8064084895584377,10.148951652442486,0.6246794946402064,87.06154854943664,0.8581493605252707,0.06412213740458016,0.8748091603053435,0.8122137404580153,0.30474934136707715,0.32061068702290074,0.42900763358778626,0.1099236641221374,0.5549985111091476,1.0,0.9965986394557823,0.0
0,3.3390134506163767,0.22098569157392686,1.0,0.22546797885167713,-0.9530187992563968,-0.8526897859556057,175,9,5.779322328410078,10.584821428571429,5.289368505195843,6.0,8.0,6.0,7636,4.0,5.0,3.0,7.0,17.0,7.0,0.4326906851682445,0.5400427508740662,-0.3801099159556432,0.4833363495632742,2.792839893512813,0.683356540305621,7.232890307721677,0.4842422527074748,2.5608199626087114,0.7464715150012595,0.07786259541984733,0.766412213740458,0.6900763358778625,0.32441148597043334,0.16946564885496182,0.40916030534351144,0.24122137404580152,0.22190625857467133,0.19387755102040816,0.29931972789115646,0.10884353741496598
0,12.004000929304027,0.12311368209255533,1.0,2.2572846839028045,2.1374062928499504,-0.7175323462674137,191,28,8.314903846153847,8.550879396984925,6.802349336057201,8.0,7.0,7.0,13793,6.0,5.0,4.0,9.0,10.0,9.0,1.0551358343758346,1.4641808779914143,0.01773047617312947,0.5036391356351256,4.187214625101739,0.7371416958487713,6.302946881387634,0.5373093880716446,3.6545034685945246,0.7254952312905705,0.17099236641221374,0.7755725190839695,0.6061068702290077,0.2735285018454432,0.216793893129771,0.416793893129771,0.2015267175572519,0.2727924200928106,0.282312925170068,0.3979591836734694,0.11904761904761904
0,20.196059335863133,0.11419340463458111,1.0,0.342969651047905,7.172485491232354,-0.618771339317298,229,1,11.05751811594203,8.950807360120166,7.694308943089431,11.0,8.0,7.0,24206,8.0,5.0,5.0,14.0,9.0,10.0,0.4462671593749814,2.3838325341501143,0.09116448091871233,0.4822918338379231,5.3324329816675755,0.7560592389663795,6.767096660066087,0.4905554367856683,3.7739756397778956,0.7025279834095767,0.2687022900763359,0.7908396946564885,0.5236641221374045,0.2490145336497859,0.233587786259542,0.40610687022900765,0.17404580152671756,0.34057587341306844,0.35374149659863946,0.48299319727891155,0.1326530612244898
0,17.576119646297588,0.10112046551937601,1.0,0.2360878635501762,6.0376203931269385,-0.6939122841047638,235,1,10.820545609548168,10.1376,7.531068258340985,11.0,9.0,8.0,24924,8.0,6.0,5.0,13.0,11.0,10.0,0.3261238377985775,2.233992828247154,-0.23078427417772177,0.459867899533378,4.975481449167564,0.7673975019146405,7.7793363129117745,0.501199571025589,3.7740693800159573,0.7108624569837344,0.300763358778626,0.7893129770992366,0.4900763358778626,0.6975798182199076,0.250381679389313,0.7877862595419848,0.5389312977099237,0.35427904912566854,0.35714285714285715,0.4897959183673469,0.1360544217687075
0,9.61787043259916,0.11132100052110475,1.0,1.5802950984036697,1.4568998562963147,-0.8405026583293393,278,29,6.965200262639527,8.624102154828412,6.091281451141018,7.0,7.0,6.0,11581,5.0,5.0,4.0,8.0,11.0,8.0,0.2155169537802818,1.3574280325655637,-0.1063432231699312,0.40437971235658376,2.8159900584245308,0.7297042726534457,6.292773894450733,0.5100867306250325,3.1065919274600513,0.7398572681893414,0.15419847328244274,0.7786259541984732,0.6259541984732825,0.6837200442156177,0.23206106870229007,0.7786259541984732,0.5480916030534351,0.30213485964284686,0.2585034013605442,0.41156462585034015,0.1564625850340136
0,2.8998404544452625,0.23509869063904631,1.0,0.3275693231802399,-0.8447950278227672,-0.44224960853341333,290,2,6.1092951991828395,12.141776937618147,4.785536159600998,6.0,10.0,5.0,6905,5.0,6.0,3.0,8.0,18.0,6.0,0.3646518866623646,0.5521278887133795,-0.6713074492375536,0.47472416206963264,2.8997047684301727,0.6674371179472478,8.103540043120164,0.4136210536878842,1.9788121298493235,0.7549031291629587,0.06564885496183206,0.7740458015267175,0.7099236641221374,0.6422209815876314,0.18167938931297709,0.7404580152671756,0.5603053435114503,0.2530425059234411,0.15306122448979592,0.30952380952380953,0.1598639455782313
0,27.21113793163463,0.12070472163495419,1.0,1.6968313826635741,22.713267537009138,-0.2694508496072565,407,1,13.669507942657885,11.1405721316518,7.802195235871088,13.0,9.0,8.0,32738,10.0,6.0,6.0,16.0,11.0,10.0,0.8298091860717829,4.243853196261715,-0.5581966555978711,0.501877792784755,6.8599243525076,1.0395875874652634,11.581640092914105,0.3916774514155006,3.055335622883564,0.6871244238900659,0.3282442748091603,0.8,0.4732824427480916,0.24277304101636912,0.25190839694656486,0.40610687022900765,0.15572519083969466,0.4159187164388634,0.3707482993197279,0.5510204081632653,0.1836734693877551
0,17.641016748701546,0.11127726952850106,1.0,0.1671405743583816,10.45262591969357,-0.3938993535519715,411,1,12.79797125950972,10.23222260391618,7.603162055335968,13.0,9.0,8.0,28078,9.0,6.0,6.0,16.0,11.0,10.0,0.34541776737279667,2.823349170284915,-0.5682879042075843,0.48542585712338093,6.211951593945024,0.7473434888748343,7.646732283243533,0.4116536306740769,3.1292809183131025,0.6879063176788326,0.3099236641221374,0.7954198473282442,0.4870229007633588,0.7069100852641143,0.2564885496183206,0.7908396946564885,0.5358778625954198,0.41275845761055335,0.3707482993197279,0.5510204081632653,0.1836734693877551
