,distance_nearest_centroid,iou_on_xoy,target,kurt_x_distance_on_zoy,kurt_y_distance_on_zox,kurt_z_distance_on_xoy,class_id,max_nonzero_internal,mean_x_distance_on_zoy,mean_y_distance_on_zox,mean_z_distance_on_xoy,median_x_distance_on_zoy,median_y_distance_on_zox,median_z_distance_on_xoy,point_count,quantile_down_x_distance_on_zoy,quantile_down_y_distance_on_zox,quantile_down_z_distance_on_xoy,quantile_up_x_distance_on_zoy,quantile_up_y_distance_on_zox,quantile_up_z_distance_on_xoy,skew_x_distance_on_zoy,skew_y_distance_on_zox,skew_z_distance_on_xoy,std_x_distance_div_mean_x_distance,std_x_distance_on_zoy,std_y_distance_div_mean_y_distance,std_y_distance_on_zox,std_z_distance_div_mean_z_distance,std_z_distance_on_xoy,x_centroid/x_shape,x_length/x_shape,x_max/x_shape,x_min/x_shape,y_centroid/y_shape,y_length/y_shape,y_max/y_shape,y_min/y_shape,z_centroid/z_shape,z_length/z_shape,z_max/z_shape,z_min/z_shape
0,34.19087893868818,0.1203155818540434,1.0,-0.30678032117003795,16.03150816681797,0.7303905459542888,122,1,17.475026567481404,16.617469879518072,11.676105315449577,18.0,13.0,12.0,61740,12.0,8.0,9.0,23.0,16.0,15.0,-0.13855564552484764,3.945382362475381,0.2254543062747572,0.4742369372209643,8.286777314154584,1.2601900570188154,20.941430505035346,0.4849326023723296,5.661609068796726,0.6602197568369752,0.4005602240896359,0.8179271708683473,0.41876750700280113,0.7823625368514754,0.3277310924369748,0.8865546218487395,0.5602240896358543,0.34434518871427783,0.5457317073170732,0.5426829268292683,0.0
0,33.194857928928116,0.12159356725146199,1.0,-0.07484789466567499,20.627110094587607,0.2767619314777692,150,1,17.6365661411926,16.506426355443935,11.731153059997595,18.0,13.0,12.0,66689,11.0,9.0,8.0,23.0,17.0,15.0,0.23802790683192568,4.25130514029143,0.13231421410966204,0.5256371565920025,9.269960115659856,1.1141440060617211,18.390650129423143,0.469896807473389,5.511901267682021,0.6739091984017287,0.39915966386554624,0.8389355742296919,0.4411764705882353,0.18457932138951938,0.33613445378151263,0.41596638655462187,0.08123249299719888,0.3478913679770935,0.5365853658536586,0.5335365853658537,0.0
0,26.24723739357316,0.13014104320142153,1.0,0.014970819333969931,16.61054930463077,-0.4558414601579188,186,1,16.20360250961344,15.949070764832022,10.891196131418006,17.0,12.0,12.0,53044,11.0,8.0,8.0,21.0,15.0,15.0,0.0755851738440617,3.960804569031018,-0.5915826784894247,0.48306405153138277,7.826860941749481,1.255593936691128,20.02581214211751,0.43613901502450536,4.749511692210376,0.7067964505763092,0.3179271708683473,0.8151260504201681,0.49859943977591037,0.77272784160795,0.3333333333333333,0.8921568627450981,0.5602240896358543,0.2927135617738426,0.46646341463414637,0.4634146341463415,0.0
0,29.119164651002354,0.1204388011326198,1.0,0.801706731108311,25.094964335206114,-0.5862442012785252,190,1,16.29719589257504,15.452727888851237,11.636108235989946,17.0,12.0,12.0,56110,11.0,8.0,8.0,20.0,16.0,16.0,0.41616411295109207,4.562533013697108,-0.30591265939374346,0.5149856102324816,8.392336357426283,1.1657335894788954,18.013929682700663,0.4764712429435736,5.543747425471026,0.7207275674482946,0.33753501400560226,0.8445378151260504,0.5084033613445378,0.20042700737397082,0.32633053221288516,0.4215686274509804,0.09663865546218488,0.2864299655293826,0.45121951219512196,0.4481707317073171,0.0
0,17.449232352158457,0.140026383773979,1.0,-0.009672257961446995,2.6143952879502743,-0.3682555671095935,268,31,14.44328097731239,13.588402366863905,11.060255152109912,16.0,11.0,11.0,42331,11.0,7.0,8.0,18.0,16.0,14.0,-0.2773479322145139,1.6008470317752603,-0.28579140906645906,0.42987177847403996,6.208188752496021,0.7565332688429872,10.279834994226178,0.4347740691499757,4.808146912388959,0.7490877052907106,0.22549019607843138,0.8235294117647058,0.5994397759103641,0.7557602758095513,0.3165266106442577,0.8837535014005602,0.5686274509803921,0.22686669113507887,0.38414634146341464,0.38109756097560976,0.0
0,17.330956928493034,0.14272030651340997,1.0,-0.029556232345761213,2.525562850357345,-0.6814566816604515,273,28,15.34424738517508,14.434670671529714,11.957192091420279,16.0,11.0,12.0,49244,11.0,7.0,8.0,19.0,19.0,16.0,-0.050767259424025955,1.5106903832737204,-0.19123503118305704,0.4616729025992696,7.083484901417631,0.7608732199594996,10.982715226121726,0.48057369636498815,5.745792575216411,0.7620938392414881,0.24369747899159663,0.8487394957983193,0.6064425770308123,0.23593501245839898,0.31092436974789917,0.4271708683473389,0.11764705882352941,0.21921161374618375,0.375,0.3719512195121951,0.0
0,11.522013594494684,0.2131076388888889,1.0,1.8588112982710285,0.19228335819092202,-0.24088557432770674,407,26,10.421001300390117,13.465546218487395,10.863543788187373,11.0,11.0,11.0,25870,8.0,7.0,8.0,13.0,19.0,14.0,0.22531513312128762,0.8411385328508558,-0.11907631174438468,0.41903273573300365,4.366159716715392,0.6809744463251792,9.16937385504689,0.43835398774336287,4.761516094564317,0.7806330727111099,0.10084033613445378,0.8179271708683473,0.7184873949579832,0.7039374853149609,0.2689075630252101,0.8361344537815126,0.5686274509803921,0.16200868319081335,0.2774390243902439,0.27439024390243905,0.0
0,8.530424660403552,0.2518701122067324,1.0,0.11890154124659613,0.3705063847908274,-0.3296367223126224,424,17,11.416210670314637,14.82046757829731,11.051299358758016,12.0,14.0,11.0,28105,9.0,8.0,7.0,14.0,21.0,14.0,-0.21826783753121526,0.7015953462512378,0.1298238083315047,0.420844199557948,4.803866885733026,0.6499925453589137,9.632843437172083,0.527800132481215,5.832405065774528,0.7967043355324696,0.09523809523809523,0.8333333333333334,0.7394957983193278,0.29643578477468197,0.242296918767507,0.42857142857142855,0.1876750700280112,0.13758922333930687,0.2682926829268293,0.2652439024390244,0.0
0,1.4712852346997491,0.2509090909090909,1.0,4.703087373422576,-0.9917641928247871,-0.6835012916809822,451,4,9.457171314741036,17.163620539599652,10.500557413600891,9.0,15.0,12.0,16050,7.0,8.0,7.0,11.0,26.0,14.0,1.7194167490038494,0.39250753473885314,-0.43054118291465404,0.5360700489718255,5.0692423598771414,0.626656790523646,10.755326017901771,0.48129438867413643,5.0533406555053855,0.7808726231925792,0.07703081232492998,0.8025210084033614,0.726890756302521,0.6456778973271552,0.18207282913165265,0.7492997198879552,0.5686274509803921,0.08294031608540384,0.1676829268292683,0.16463414634146342,0.0
0,0.7165929252113086,0.28526924788607033,1.0,0.6052552939831264,-0.9519746769423851,-0.9755666916405485,461,1,8.245718050065877,16.682337992376112,9.836973478939157,9.0,17.0,11.0,11345,7.0,8.0,6.0,10.0,24.0,14.0,-0.4474818367690177,0.21281199676248688,-0.5198135921664957,0.35913293104388055,2.960668024812634,0.6396893422662988,10.67115350714943,0.5025098969024661,4.94267903863091,0.8017863469759874,0.058823529411764705,0.8179271708683473,0.7605042016806722,0.363810980540299,0.14985994397759103,0.42997198879551823,0.2815126050420168,0.059390082662395594,0.1402439024390244,0.13719512195121952,0.0
