,distance_nearest_centroid,iou_on_xoy,target,kurt_x_distance_on_zoy,kurt_y_distance_on_zox,kurt_z_distance_on_xoy,class_id,max_nonzero_internal,mean_x_distance_on_zoy,mean_y_distance_on_zox,mean_z_distance_on_xoy,median_x_distance_on_zoy,median_y_distance_on_zox,median_z_distance_on_xoy,point_count,quantile_down_x_distance_on_zoy,quantile_down_y_distance_on_zox,quantile_down_z_distance_on_xoy,quantile_up_x_distance_on_zoy,quantile_up_y_distance_on_zox,quantile_up_z_distance_on_xoy,skew_x_distance_on_zoy,skew_y_distance_on_zox,skew_z_distance_on_xoy,std_x_distance_div_mean_x_distance,std_x_distance_on_zoy,std_y_distance_div_mean_y_distance,std_y_distance_on_zox,std_z_distance_div_mean_z_distance,std_z_distance_on_xoy,x_centroid/x_shape,x_length/x_shape,x_max/x_shape,x_min/x_shape,y_centroid/y_shape,y_length/y_shape,y_max/y_shape,y_min/y_shape,z_centroid/z_shape,z_length/z_shape,z_max/z_shape,z_min/z_shape
0,3.485221785576298,0.5410714285714285,0.0,-0.7877347901371063,-1.8409332643751484,218.1323084919221,1,2,18.247848537005165,53.1284046692607,2.8518518518518516,19.0,73.0,3.0,10407,13.0,1.0,3.0,27.0,98.0,3.0,-0.5018658576448042,-0.12316889268894182,12.035749423096917,0.5610518391720606,10.237550034459117,0.8802090657450546,46.76398364752091,0.45441023713040296,1.2953650864979092,0.25782020451821397,0.06578947368421052,0.2911184210526316,0.22697368421052633,0.4635276800028321,0.20723684210526316,0.5641447368421053,0.35855263157894735,0.0014879666215863573,0.030329289428076257,0.029462738301559793,0.0
0,3.1181474565145555,0.24913029728020242,0.0,1.0549425973300486,-0.5427074600211452,-1.0596919020983362,15,1,18.169996432393862,24.972894482090997,27.869247857822913,16.0,25.0,22.0,76198,11.0,16.0,11.0,21.0,33.0,44.0,1.2244939425943553,0.18525498514243102,0.5356379466871408,0.5707355534920125,10.369833706343698,0.48502368046982564,12.111930217368846,0.7176459064395636,19.99996928662263,0.6135607492806138,0.16776315789473684,0.7088815789473685,0.5427631578947368,0.30097151672719685,0.20394736842105263,0.3832236842105263,0.18092105263157895,0.024603146695762926,0.05805892547660312,0.05719237435008666,0.0
0,1.5486461408575827,0.2412689949346841,0.0,1.2597688773658198,-0.4128496864959046,-1.0096033294607822,16,1,14.939532057125493,18.629883205799437,33.0073664825046,13.0,15.0,25.0,75731,9.0,5.0,14.0,19.0,28.0,53.5,1.1011730742364851,0.7585872487948386,0.5725216362259871,0.5749232639021487,8.588659454717272,0.7917689282482366,14.750354428173893,0.7265244626055318,23.9803857201881,0.6175782582951153,0.15296052631578946,0.694078947368421,0.5427631578947368,0.6814977562549995,0.19901315789473684,0.7993421052631579,0.6019736842105263,0.03401206592146008,0.07019064124783363,0.06932409012131716,0.0
0,0.5180256156466679,0.7929411764705883,0.0,0.6534539011135725,-0.3200414666499203,-1.3552321672984164,17,1,12.028571428571428,10.759229534510434,22.089020771513354,13.0,12.0,27.0,6860,10.0,8.0,8.0,15.0,14.0,33.0,-1.125480733100201,-0.7989278099667616,-0.45949495180865585,0.34368684764248186,4.133405482775781,0.35634191035514473,3.8333207481872975,0.592035464118627,13.077075699853019,0.6099022268681908,0.04111842105263158,0.625,0.5855263157894737,0.3837060764155286,0.027960526315789474,0.3963815789473684,0.37006578947368424,0.016128714422139246,0.03466204506065858,0.033795493934142114,0.0
0,3.719078561336894,0.3952883706271667,0.0,2.388032514453127,7.013808621564227,1.0458291943993103,23,2,7.789793944518104,18.299841238772537,255.8220051823799,3.0,17.0,28.0,790413,3.0,10.0,17.0,4.0,23.0,378.0,2.060120674509448,2.0264923932242156,1.5577387431820802,1.5534105460628411,12.101301475616944,0.7524250403120832,13.769011206828463,1.4692279984091983,375.86132185113405,0.904138932581348,0.125,0.9819078947368421,0.8585526315789473,0.2877555742510894,0.2746710526315789,0.4276315789473684,0.15460526315789475,0.5752756471447902,1.0,0.9991334488734835,0.0
0,4.011143081337332,0.37001404494382023,0.0,0.7679194900988411,2.9852990688833563,0.8953740663893015,24,5,9.306240593451069,22.434466373507284,261.78705636743217,3.0,18.0,32.0,946599,3.0,10.0,23.0,4.0,28.0,379.0,1.6290992001293485,1.6829299398917414,1.5090113167074561,1.4501403442987235,13.495805078658188,0.8266569561225897,18.545434341514248,1.4220575990400588,372.2766948952342,0.9094560378648637,0.13157894736842105,0.9901315789473685,0.8601973684210527,0.6902056592518112,0.29276315789473684,0.8421052631578947,0.5509868421052632,0.5803496576120694,1.0,0.9991334488734835,0.0
0,4.7647793717992615,0.1614858906525573,0.0,-0.11039009780332476,-0.15349446075950146,-0.8429532233061123,214,1,6.800795228628231,10.784384384384385,26.214334470989762,7.0,8.0,26.0,36839,5.0,6.0,18.0,8.0,15.0,37.0,-0.5183407145242838,0.8720387492836696,-0.22432854702042998,0.3704415403877804,2.518667501895297,0.6881141404051205,7.420575504599471,0.45805759206425367,12.007132982940597,0.7539488596181678,0.13322368421052633,0.7894736842105263,0.6578947368421053,0.6838821504241072,0.18421052631578946,0.7796052631578947,0.5970394736842105,0.3373787754039393,0.18630849220103987,0.4202772963604853,0.23483535528596186
0,7.657851547865026,0.15787002253944402,1.0,0.18967638953008548,0.1594064197002818,-0.5553964968418783,218,56,7.832554517133956,9.718349928876245,26.303390838786438,9.0,7.0,28.0,42012,6.0,5.0,18.0,10.0,13.0,34.0,-0.8581278589195551,1.0830815139734538,-0.21286458800481356,0.3487529837161556,2.7309755109536358,0.7670919968633895,7.45463554515572,0.43763379704884264,11.510690441834901,0.7328859595879874,0.14473684210526316,0.7680921052631579,0.625,0.2728379297644282,0.19901315789473684,0.37993421052631576,0.1825657894736842,0.34791916347743185,0.18370883882149047,0.42807625649913345,0.24523396880415946
0,20.484210648396793,0.11308691308691309,1.0,2.821705829196983,2.4315276620785706,-0.6288203248506665,220,1,11.06453941669073,9.142699386503068,29.075971731448764,11.0,7.0,30.0,72540,8.0,5.0,20.25,13.0,10.0,38.0,1.3553092915248084,1.7330959571868396,-0.40539454142632564,0.5532551605905096,6.121066787001843,0.8430631745345868,7.70771623177523,0.43953588271102395,12.779372436545824,0.7090962744692583,0.2878289473684211,0.7779605263157895,0.4917763157894737,0.2468474063311712,0.23519736842105263,0.3881578947368421,0.15460526315789475,0.4180293404129151,0.2616984402079723,0.5121317157712305,0.2512998266897747
0,9.099822477714055,0.11112732224491781,1.0,0.5100943690451909,2.101254835424886,-0.654949099063916,221,1,9.305427073697194,10.06293590169379,28.708096280087528,10.0,8.0,31.0,57294,7.0,5.0,20.0,12.0,13.0,38.0,0.10535231008477326,1.5128695417288822,-0.4274158944389253,0.4193449241812392,3.9016029556177814,0.7668476093515463,7.71650518688108,0.4401918531291562,12.636510293195094,0.7403999316544582,0.2450657894736842,0.7944078947368421,0.5509868421052632,0.7193819838304002,0.22697368421052633,0.8256578947368421,0.600328947368421,0.4127317193164461,0.24870017331022531,0.5043327556325823,0.2564991334488735
